"AA_Service_Name","base_URL","query_path","page_views","search_text_query"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=2&search_text=",13,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=recensement%20de%20l%27agriculture&od-search-orgs=statistique%",10,"recensement de l'agriculture"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=&od-search-format=csv",8,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=projection&od-search-orgs=statistique%20canada|agence%20de%20l",7,"projection"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=3&search_text=",6,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=4&search_text=",5,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=",5,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?search_text=aide+a+mourir",3,"aide+a+mourir"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?search_text=",3,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=2&search_text=lidar",3,"lidar"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=inventaire%20annuel%20des%20culture&od-search-orgs=ressources%",2,"inventaire annuel des culture"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?search_text=photos+a%c3%a9riennes+qu%c3%a9bec",2,"photos+aériennes+québec"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=covid",2,"covid"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt%20desc&page=2&search_text=",2,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=&search_text=",2,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?search_text=immigration",2,"immigration"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=qu%c3%a9bec",2,"québec"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=temp%c3%a9rature%20dataset",2,"température dataset"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt%20desc&page=1&search_text=",2,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?od-search-col=cartes%20ouvertes&search_text=transport",1,"transport"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?od-search-col=cartes%20ouvertes&search_text=fond+de+carte+golfe+saint-laurent",1,"fond+de+carte+golfe+saint-laurent"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=3&search_text=&od-search-format=csv",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt%20desc&page=1&search_text=auto%c3%a9valuation&od-search-jur=f%c3%a9d%c3%a9ra",1,"autoévaluation"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=&od-search-subjects=travail%20et%20emploi&od-search-format=csv",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt%20desc&page=3&search_text=",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=immigration",1,"immigration"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?search_text=job+bank",1,"job+bank"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=2&search_text=&od-search-format=csv",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=6&search_text=",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-jur=municipal",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=climat%20dataset",1,"climat dataset"
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=last_modified_tdt desc&page=2&search_text=",1,""
"OG-GO","rechercher.ouvert.canada.ca/fr/od/","?sort=score%20desc&page=1&search_text=alose",1,"alose"
